class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023101,PEA3419,Tópicos de Sistemas Embarcados na Automação de Sistemas Elétricos Modernos,Eduardo Lorezentti Pellini,2023-03-13,2023-07-15,eletrica-manual,qui,16:50,18:30,Elétrica,A2-37,3
2023101,PEA3420,Produção de Energia,André Luiz Veiga Gimenes,2023-03-13,2023-07-15,eletrica-manual,ter,15:00,16:40,Elétrica,GD-05,1
2023101,PEA3420,Produção de Energia,André Luiz Veiga Gimenes,2023-03-13,2023-07-15,eletrica-manual,qui,15:00,16:40,Elétrica,GD-05,1
2023101,PEA3450,Coleta e Armazenamento de Energia,André Luiz Veiga Gimenes,2023-03-13,2023-07-15,eletrica-manual,seg,08:20,10:10,Elétrica,GD-05,1
2023101,PEA3450,Coleta e Armazenamento de Energia,André Luiz Veiga Gimenes,2023-03-13,2023-07-15,eletrica-manual,qui,10:10,11:50,Elétrica,GD-06,1
2023101,PEA3489,Eletrônica de Potência I,Lourenço Matakas Junior,2023-03-13,2023-07-15,eletrica-manual,sex,13:10,14:50,Elétrica,C1-49,1
2023101,PEA3496,Energia e Meio Ambiente: Sistemas Energéticos e seus Efeitos Ambientais,Alberto Bianchi Junior,2023-03-13,2023-07-15,eletrica-manual,qui,13:10,15:50,Elétrica,D1-03,1
2023101,PEA3503,Subestações e Equipamentos,Luiz Cera Zanetta Junior,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,A2-48,3
2023101,PEA3503,Subestações e Equipamentos,Luiz Cera Zanetta Junior,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,11:00,Elétrica,A2-48,3
2023101,PEA3511,Transporte de Energia Elétrica,Nelson Kagan,2023-03-13,2023-07-15,eletrica-manual,ter,09:20,11:00,Elétrica,A2-48,3
2023101,PEA3511,Transporte de Energia Elétrica,Carlos Frederico Meschini Almeida,2023-03-13,2023-07-15,eletrica-manual,qua,09:20,11:00,Elétrica,A2-48,3
2023101,PEA3515,Modelagem de Componentes de Sistemas Elétricos de Potência para Cálculos Elétricos,Carlos Eduardo de Morais Pereira,2023-03-13,2023-07-15,eletrica-manual,ter,13:10,16:40,Elétrica,A2-48,3
2023101,PEA3534,Introdução às Instalações Elétricas em Áreas Classificadas,Carlos Frederico Meschini Almeida,2023-03-13,2023-07-15,eletrica-manual,ter,11:10,12:50,Elétrica,A2-48,3
2023101,PEA3536,Tópicos de Regulação do Setor Elétrico,Carlos Frederico Meschini Almeida,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,A2-48,3
2023101,PTC3413,Controle Multivariável,Átila Madureira Bueno,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,C1-30,1
2023101,PTC3413,Controle Multivariável,Átila Madureira Bueno,2023-03-13,2023-07-15,eletrica-manual,sex,11:10,12:50,Elétrica,C1-30,1
2023101,PTC3415,Modelagem e Simulação,Claudio Garcia,2023-03-13,2023-07-15,eletrica-manual,qua,07:30,09:10,Elétrica,D1-04,1
2023101,PTC3415,Modelagem e Simulação,Claudio Garcia,2023-03-13,2023-07-15,eletrica-manual,sex,07:30,09:10,Elétrica,GD-03,1
2023101,PTC3419,Controle Digital,Ricardo Paulino Marques,2023-03-13,2023-07-15,eletrica-manual,qua,09:20,11:00,Elétrica,D1-04,1
2023101,PTC3419,Controle Digital,Ricardo Paulino Marques,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,GD-06,1
2023101,PTC3422,Modelos de Sistemas Biológicos,Luiz Henrique Alves Monteiro,2023-03-13,2023-07-15,eletrica-manual,sex,14:00,17:40,Elétrica,D1-02,1
2023101,PTC3435,Princípios de Instrumentação Biomédica,Henrique Takachi Moriya,2023-03-13,2023-07-15,eletrica-manual,ter,09:20,12:50,Elétrica,Caeel 1,
2023101,PTC3440,Modelos Probabilísticos,Oswaldo Luiz do Valle Costa,2023-03-13,2023-07-15,eletrica-manual,ter,11:10,12:50,Elétrica,GD-03,1
2023101,PTC3440,Modelos Probabilísticos,Oswaldo Luiz do Valle Costa,2023-03-13,2023-07-15,eletrica-manual,qui,11:10,12:50,Elétrica,GD-03,1
2023101,PTC3441,Modelagem e Controle de Manipuladores Robóticos,Fabio de Oliveira Fialho,2023-03-13,2023-07-15,eletrica-manual,ter,09:20,11:00,Elétrica,GD-03,1
2023101,PTC3441,Modelagem e Controle de Manipuladores Robóticos,Fabio de Oliveira Fialho,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,11:00,Elétrica,GD-03,1
2023101,PTC3566,Tópicos de Controle Avançado,Felipe Miguel Pait,2023-03-13,2023-07-15,eletrica-manual,qua,09:20,12:50,Elétrica,GD-05,1
2023101,PTC3260,Laboratório de Conectividade,Cristiano Magalhaes Panazio,2023-03-13,2023-07-15,eletrica-manual,seg,09:20,11:00,Elétrica,C1-14,1
2023101,PTC3307,Sistemas e Sinais,Andre Fabio Kohn,2023-03-13,2023-07-15,eletrica-manual,seg,11:10,12:50,Elétrica,D1-01,1
2023101,PTC3307,Sistemas e Sinais,Andre Fabio Kohn,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,D1-01,1
2023102,PTC3307,Sistemas e Sinais,Henrique Takachi Moriya,2023-03-13,2023-07-15,eletrica-manual,seg,11:10,12:50,Elétrica,D1-02,1
2023102,PTC3307,Sistemas e Sinais,Henrique Takachi Moriya,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,D1-02,1
2023103,PTC3307,Sistemas e Sinais,Renata Valeri de Freitas,2023-03-13,2023-07-15,eletrica-manual,seg,11:10,12:50,Elétrica,D1-03,1
2023103,PTC3307,Sistemas e Sinais,Renata Valeri de Freitas,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,D1-03,1
2023101,PTC3314,Ondas e Linhas,Plinio Francisco dos Santos Rodrigues,2023-03-13,2023-07-15,eletrica-manual,seg,07:30,09:10,Elétrica,GD-03,1
2023101,PTC3314,Ondas e Linhas,Plinio Francisco dos Santos Rodrigues,2023-03-13,2023-07-15,eletrica-manual,qui,07:30,09:10,Elétrica,GD-03,1
2023101,PTC3405,Processos Estocásticos,Marcio Eisencraft,2023-03-13,2023-07-15,eletrica-manual,qua,14:00,15:40,Elétrica,GD-03,1
2023101,PTC3405,Processos Estocásticos,Marcio Eisencraft,2023-03-13,2023-07-15,eletrica-manual,sex,15:50,17:30,Elétrica,D1-03,1
2023101,PTC3424,Processamento Digital de Sinais,Phillip Mark Seymour Burt,2023-03-13,2023-07-15,eletrica-manual,ter,15:50,17:30,Elétrica,D1-04,1
2023101,PTC3424,Processamento Digital de Sinais,Phillip Mark Seymour Burt,2023-03-13,2023-07-15,eletrica-manual,qui,15:50,17:30,Elétrica,D1-03,1
2023101,PTC3432,Teoria das Comunicações,Cristiano Magalhaes Panazio,2023-03-13,2023-07-15,eletrica-manual,seg,15:50,17:30,Elétrica,GD-03,1
2023101,PTC3432,Teoria das Comunicações,Cristiano Magalhaes Panazio,2023-03-13,2023-07-15,eletrica-manual,sex,14:00,15:40,Elétrica,GD-03,1
2023101,PTC3444,Antenas e Propagação,Luiz Cezar Trintinalia,2023-03-13,2023-07-15,eletrica-manual,seg,14:00,15:40,Elétrica,GD-03,1
2023101,PTC3444,Antenas e Propagação,Luiz Cezar Trintinalia,2023-03-13,2023-07-15,eletrica-manual,qua,15:50,17:30,Elétrica,GD-03,1
2023101,PTC3450,Redes de Comunicação,Marcio Eisencraft,2023-03-13,2023-07-15,eletrica-manual,ter,14:00,15:40,Elétrica,GD-03,1
2023101,PTC3450,Redes de Comunicação,Marcio Eisencraft,2023-03-13,2023-07-15,eletrica-manual,qui,14:00,15:40,Elétrica,GD-03,1
2023101,PTC3527,Anteprojeto de Formatura em Telecomunicações,Luiz Antonio Barbosa Coelho,2023-03-13,2023-07-15,eletrica-manual,qua,08:30,11:00,Elétrica,GD-03,1
2023101,PTC3540,Laboratório de Antenas e Microondas,Murilo Hiroaki Seko,2023-03-13,2023-07-15,eletrica-manual,seg,08:30,12:00,Elétrica,C1-18,1
2023101,PTC3545,Processamento Digital de Sinais II,Phillip Mark Seymour Burt,2023-03-13,2023-07-15,eletrica-manual,qua,11:10,12:50,Elétrica,GD-03,1
2023101,PTC3545,Processamento Digital de Sinais II,Phillip Mark Seymour Burt,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,GD-03,1
2023101,PTC3547,Codificação e Transmissão Multimídia,Guido Stolfi,2023-03-13,2023-07-15,eletrica-manual,ter,11:10,12:50,Elétrica,GD-05,1
2023101,PTC3547,Codificação e Transmissão Multimídia,Guido Stolfi,2023-03-13,2023-07-15,eletrica-manual,qui,11:10,12:50,Elétrica,GD-05,1
2023101,PTC3548,Introdução à Compatibilidade Eletromagnética,Luiz Cezar Trintinalia,2023-03-13,2023-07-15,eletrica-manual,ter,09:20,11:00,Elétrica,Caeel 2,
2023101,PTC3548,Introdução à Compatibilidade Eletromagnética,Luiz Cezar Trintinalia,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,11:00,Elétrica,Caeel 2,
2023102,PEF3208,Fundamentos de Mecânica das Estruturas,Daniel Miranda dos Santos,2023-03-13,2023-07-15,eletrica-manual,qui,07:30,09:10,Elétrica,D1-04,
2023103,PEF3208,Fundamentos de Mecânica das Estruturas,Osvaldo Shigueru Nakao,2023-03-13,2023-07-15,eletrica-manual,sex,07:30,09:10,Elétrica,D1-04,
2023104,PEF3208,Fundamentos de Mecânica das Estruturas,Osvaldo Shigueru Nakao,2023-03-13,2023-07-15,eletrica-manual,sex,09:20,11:00,Elétrica,D1-04,
