class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023221,PME3403,Laboratório de Vibrações e Controle,(R) Walter Jorge Augusto Ponge Ferreira,2023-08-07,2023-12-21,mecanica-manual,seg,13:10,16:40,Mecânica,A01-A,1
2023222,PME3403,Laboratório de Vibrações e Controle,(R) Walter Jorge Augusto Ponge Ferreira,2023-08-07,2023-12-21,mecanica-manual,seg,13:10,16:40,Mecânica,A01-A,1
2023251,PME3403,Laboratório de Vibrações e Controle,(R) Walter Jorge Augusto Ponge Ferreira,2023-08-07,2023-12-21,mecanica-manual,qui,13:10,16:40,Mecânica,A01-A,1
2023252,PME3403,Laboratório de Vibrações e Controle,(R) Walter Jorge Augusto Ponge Ferreira,2023-08-07,2023-12-21,mecanica-manual,qui,13:10,16:40,Mecânica,A01-A,1
2023201,PME3431,Seleção de Materiais para Engenharia Mecânica,(R) Roberto Martins de Souza,2023-08-07,2023-12-21,mecanica-manual,sex,09:20,11:00,Mecânica,A09,1
2023221,PME3472,Projeto de Máquinas,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,seg,15:00,18:30,Mecânica,Oficina,1
2023222,PME3472,Projeto de Máquinas,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,seg,15:00,18:30,Mecânica,Oficina,1
2023201,PME3479,Sistemas Térmicos,(R) Jurandir Itizo Yanagihara,2023-08-07,2023-12-21,mecanica-manual,qui,07:30,10:10,Mecânica,A09,1
2023231,PME3479,Sistemas Térmicos,(R) Flávio Augusto Sanzovo Fiorelli,2023-08-07,2023-12-21,mecanica-manual,ter,14:00,17:30,Mecânica,TS09,2
2023232,PME3479,Sistemas Térmicos,(R) Flávio Augusto Sanzovo Fiorelli,2023-08-07,2023-12-21,mecanica-manual,ter,14:00,17:30,Mecânica,TS09,2
2023251,PME3479,Sistemas Térmicos,(R) Flávio Augusto Sanzovo Fiorelli,2023-08-07,2023-12-21,mecanica-manual,qui,14:00,17:30,Mecânica,TS09,2
2023252,PME3479,Sistemas Térmicos,(R) Flávio Augusto Sanzovo Fiorelli,2023-08-07,2023-12-21,mecanica-manual,qui,14:00,17:30,Mecânica,TS09,2
2023201,PME3480,Motores de Combustão Interna,(R) Guenther Carlos Krieger Filho,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,14:50,Mecânica,A02,1
2023201,PME3482,Controle Discreto,(R) Raúl González Lima,2023-08-07,2023-12-21,mecanica-manual,ter,07:30,09:10,Mecânica,A10-A,1
2023201,PME3598,Introdução ao Projeto Integrado,(R) Alberto Hernandez Neto,2023-08-07,2023-12-21,mecanica-manual,sex,11:10,12:00,Mecânica,A08,1
2023201,PME3597,Estágio Supervisionado,(R) Paulo Carlos Kaminski,2023-08-07,2023-12-21,mecanica-manual,sab,11:10,12:00,Mecânica,A10-A,1
2023201,PME3600,Projeto Integrado II,(R) Alberto Hernandez Neto,2023-08-07,2023-12-21,mecanica-manual,sex,12:00,12:50,Mecânica,A09,1
2023201,PME3554,Introdução às Estruturas Aeronáuticas,Roberto Ramos Junior,2023-08-07,2023-12-21,mecanica-manual,sex,07:30,11:00,Mecânica,A10-A,1
2023201,PME3556,Dinâmica dos Fluidos Computacional,(R) Fábio Saltara,2023-08-07,2023-12-21,mecanica-manual,qui,08:20,12:00,Mecânica,A10-A,1
2023201,PME3559,Projeto Aerodinâmico de Aeronaves,Marlon Sproesser Mathias,2023-08-07,2023-12-21,mecanica-manual,sex,16:50,18:30,Mecânica,A09,1
2023201,PME3541,Engenharia Automotiva II,(R) Marcelo Massarani,2023-08-07,2023-12-21,mecanica-manual,ter,13:10,16:40,Mecânica,A10-A,1
2023201,PME3543,Estruturas Mecânicas e de Veículos,(R) Leandro Vieira da Silva Macedo,2023-08-07,2023-12-21,mecanica-manual,sab,07:30,11:00,Mecânica,A10-A,1
2023201,PME3534,Técnicas Experimentais e Computacionais em Biomecânica e Sistemas Vasculares,(R) Raúl González Lima,2023-08-07,2023-12-21,mecanica-manual,qua,09:20,11:00,Mecânica,A01-A,1
2023201,PME3534,Técnicas Experimentais e Computacionais em Biomecânica e Sistemas Vasculares,(R) Raúl González Lima,2023-08-07,2023-12-21,mecanica-manual,sex,07:30,09:10,Mecânica,A01-A,1
2023201,PME3560,Princípios de Células a Combustível,(R) Julio Romano Meneghini,2023-08-07,2023-12-21,mecanica-manual,sex,13:10,14:50,Mecânica,A09,1
2023201,PME3596,Atividades Especiais em Engenharia II,(R) Marcelo Augusto Leal Alves,2023-08-07,2023-12-21,mecanica-manual,sex,16:50,18:30,Mecânica,A08,1
2023202,PME3596,Atividades Especiais em Engenharia II,(R) Antonio Luis de Campos Mariani,2023-08-07,2023-12-21,mecanica-manual,sex,16:50,18:30,Mecânica,A08,1
